id,name,Kingdom,Phylum,Class,Order,Family,Genus,Species
1,antelope,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus,
2,grizzly+bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,
3,killer+whale,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Orcinus,O.?orca
4,beaver,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,
5,dalmatian,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,
6,persian+cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,
7,horse,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,E.?ferus
8,german+shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,C.?lupus
9,blue+whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,B.?musculus
10,siamese+cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,F.?catus
11,skunk,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,
12,mole,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Talpa,
13,tiger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,P.?tigris
14,hippopotamus,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,H.?amphibius
15,leopard,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,P.?pardus
16,moose,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,A.?alces
17,spider+monkey,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,
18,humpback+whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Megaptera,M.?novaeangliae
19,elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,
20,gorilla,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,
21,ox,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus,
22,fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,
23,sheep,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,O.?aries
24,seal,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Eumetopias,
25,chimpanzee,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,
26,hamster,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,
27,squirrel,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurinae,
28,rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,
29,rabbit,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,
30,bat,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodontinae,
31,giraffe,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa,
32,wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,C.?lupus
33,chihuahua,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,C.?lupus
34,rat,Animalia,Chordata,Mammalia,Rodentia,Muridae,Fischer de Waldheim,
35,weasel,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,
36,otter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Amblonyx,
37,buffalo,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus,S.?caffer
38,zebra,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,
39,giant+panda,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda,A.?melanoleuca
40,deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,
41,bobcat,bobcat,bobcat,bobcat,bobcat,bobcat,bobcat,bobcat
42,pig,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,
43,lion,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,P.?leo
44,mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,
45,polar+bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,U.?maritimus
46,collie,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,C.?lupus
47,walrus,Animalia,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus,O.?rosmarus
48,raccoon,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,P.?lotor
49,cow,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,B.?taurus
50,dolphin,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus